Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"192.168.1.177",56257,"149.154.167.99",443,910,1704468,36,0,0,310,38319,600,1666149,24.81642,257.55707,1190,51752
"192.168.1.177",56258,"192.124.249.22",80,28,7702,37,0,0,14,1627,14,6075,24.929213,68.141706,191,713
"192.168.1.177",56259,"192.124.249.22",80,28,7702,38,0,0,14,1627,14,6075,24.929378,68.632787,189,708
"192.168.1.177",56160,"35.186.227.140",443,3775,2371687,39,0,0,1803,2181677,1972,190010,25.076847,701.716696,24872,2166
"192.168.1.177",49861,"35.186.224.41",443,820,61295,40,0,0,410,30955,410,30340,27.846663,6129.260052,40,39
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56260,"2001:67c:4e8:f004::9",443,1,86,41,0,0,1,86,0,0,27.925429,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56261,"2001:67c:4e8:f004::9",443,1,86,42,0,0,1,86,0,0,27.930131,0,"",""
"192.168.1.177",56262,"149.154.167.99",443,37,10109,43,0,0,19,2434,18,7675,28.180035,170.826591,113,359
"192.168.1.177",56263,"149.154.167.99",443,39,10283,44,0,0,20,2500,19,7783,28.210979,171.040763,116,364
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56264,"2001:67c:4e8:f004::9",443,5,430,45,0,0,5,430,0,0,28.396943,15.018355999999997,229,0
"192.168.1.177",56227,"213.141.122.228",443,26,3918,46,0,0,14,1560,12,2358,28.584552,170.389909,73,110
"192.168.1.177",56265,"149.154.167.99",443,22,8533,47,0,0,10,1512,12,7021,28.648271,0.1458289999999991,82946,385163
"192.168.1.177",49796,"34.158.0.131",80,300,28191,48,0,0,183,19970,117,8221,31.394197,6120.661840000001,26,10
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56267,"2001:67c:4e8:f004::9",443,5,430,49,0,0,5,430,0,0,32.455525,15.018518,229,0
"192.168.1.177",56268,"149.154.167.99",443,13706,3589343,50,0,0,7114,1043271,6592,2546072,32.707383,5351.273881,1559,3806
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56269,"2001:67c:4e8:f004::9",443,5,430,51,0,0,5,430,0,0,34.012882,15.032907000000002,228,0
"192.168.1.177",56270,"149.154.167.99",443,20,8437,52,0,0,10,1514,10,6923,34.264316,0.1465079999999972,82671,378027
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56273,"2001:67c:4e8:f004::9",443,5,430,53,0,0,5,430,0,0,38.599542,15.048524999999998,228,0
"192.168.1.177",56274,"149.154.167.99",443,22,8545,54,0,0,11,1568,11,6977,38.850267,0.1518249999999952,82621,367633
"192.168.1.177",56275,"34.120.52.64",443,203,37669,55,0,0,83,12905,120,24764,41.281612,183.65086200000002,562,1078
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56276,"2a01:4f8:c010:1ef1::1",443,1,86,56,0,0,1,86,0,0,42.095806,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56277,"2a01:4f8:c010:1ef1::1",443,1,86,57,0,0,1,86,0,0,42.096087,0,"",""
"192.168.1.177",56278,"216.58.211.227",80,7,402,58,0,0,4,228,3,174,42.212816,5.415152000000006,336,257
"192.168.1.177",56279,"162.55.83.113",443,747,220162,59,0,0,350,116675,397,103487,42.346363,653.4611,1428,1266
"192.168.1.177",56280,"162.55.83.113",443,19,6742,60,0,0,9,1441,10,5301,42.34663,0.16092100000000187,71637,263533
"192.168.1.177",55696,"35.186.224.25",443,151,45755,61,0,0,74,35207,77,10548,44.01038,554.9070320000001,507,152
"192.168.1.177",56281,"34.117.138.150",443,57,33870,62,0,0,22,2877,35,30993,44.592972,0.3350249999999946,68699,740076
"192.168.1.177",56143,"34.117.14.220",443,11,735,63,0,0,6,426,5,309,47.17446,53.848273999999996,63,45
"192.168.1.177",56142,"34.160.144.191",443,11,763,64,0,0,6,447,5,316,47.174544,53.84685900000001,66,46
"192.168.1.177",56133,"34.117.237.239",443,11,735,65,0,0,6,426,5,309,47.174582,53.851646,63,45
"192.168.1.177",56139,"34.117.65.55",443,11,735,66,0,0,6,426,5,309,47.17463,52.844086,64,46
"192.168.1.177",56150,"34.149.100.209",443,11,735,67,0,0,6,426,5,309,47.174677,53.846609,63,45
"192.168.1.177",56152,"34.110.207.168",443,11,735,68,0,0,6,426,5,309,47.174741,53.846630000000005,63,45
"192.168.1.177",56154,"34.107.141.31",443,11,735,69,0,0,6,426,5,309,47.174775,53.84974,63,45
"192.168.1.177",56147,"35.244.181.201",443,11,763,70,0,0,6,447,5,316,47.174824,53.86037399999999,66,46
"192.168.1.177",56132,"18.165.122.14",443,9,655,71,0,0,6,447,3,208,47.174858,52.625702000000004,67,31
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56283,"2a04:4e42:3a::760",443,1,86,72,0,0,1,86,0,0,48.070527,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56284,"2a04:4e42:3a::760",443,1,86,73,0,0,1,86,0,0,48.070735,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56285,"2a04:4e42:3a::760",443,1,86,74,0,0,1,86,0,0,48.070883,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56286,"2a04:4e42:3a::760",443,1,86,75,0,0,1,86,0,0,48.071016,0,"",""
"192.168.1.177",56168,"159.69.148.181",443,10,705,76,0,0,6,426,4,279,48.174951,53.657219000000005,63,41
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56287,"2a04:4e42:3a::760",443,1,86,77,0,0,1,86,0,0,48.309979,0,"",""
"192.168.1.177",56288,"151.101.246.248",443,44,21974,78,0,0,20,2389,24,19585,48.371698,467.665996,40,335
"192.168.1.177",56289,"151.101.246.248",443,45,22260,79,0,0,21,2443,24,19817,48.371967,467.66579500000006,41,338
"192.168.1.177",56290,"151.101.246.248",443,52,28194,80,0,0,22,2497,30,25697,48.372154,467.665671,42,439
"192.168.1.177",56291,"151.101.246.248",443,54,29066,81,0,0,22,2497,32,26569,48.372433,467.66536299999996,42,454
"192.168.1.177",56292,"151.101.246.248",443,23,2093,82,0,0,11,1180,12,913,48.613517,247.235386,38,29
"192.168.1.177",56293,"149.154.167.99",443,23,9847,83,0,0,12,2693,11,7154,49.421709,0.22236300000000142,96886,257380
"192.168.1.177",56191,"172.64.154.86",443,9,627,84,0,0,6,426,3,201,50.289995,53.523526,63,30
"192.168.1.177",56185,"108.156.22.78",443,9,627,85,0,0,6,426,3,201,50.290238,53.51505999999999,63,30
"192.168.1.177",56184,"108.156.22.78",443,10,681,86,0,0,6,426,4,255,50.290429,52.51287099999999,64,38
"192.168.1.177",56190,"3.214.211.112",443,11,735,87,0,0,6,426,5,309,51.290627,54.041377,63,45
"192.168.1.177",56193,"13.107.213.53",443,5,362,88,0,0,2,154,3,208,51.290717,4.654730999999998,264,357
"192.168.1.177",56172,"104.18.37.228",443,9,627,89,0,0,6,426,3,201,52.291383,53.591846,63,30
"192.168.1.177",56294,"149.154.167.99",443,20,8815,90,0,0,9,1903,11,6912,53.478473,0.10462400000000116,145511,528521
"192.168.1.62",50508,"192.168.1.177",7680,8,531,91,0,0,5,357,3,174,53.972384,0.009741000000005329,293193,142901
"192.168.1.177",56296,"149.154.167.99",443,23,9851,92,0,0,12,2697,11,7154,55.050494,0.18431900000000212,117057,310505
"150.171.22.254",443,"192.168.1.177",56164,1,54,93,0,0,1,54,0,0,55.790238,0,"",""
"13.107.6.254",443,"192.168.1.177",56169,1,54,94,0,0,1,54,0,0,56.907158,0,"",""
"192.168.1.177",56298,"149.154.167.99",443,22,9797,95,0,0,11,2643,11,7154,59.652989,0.15566499999999905,135830,367661
"13.107.213.53",443,"192.168.1.177",56177,1,54,96,0,0,1,54,0,0,59.729593,0,"",""
"192.168.1.177",50062,"195.148.124.36",80,10,1226,97,0,0,6,504,4,722,68.202155,0.01346900000000062,299354,428836
"13.107.246.53",443,"192.168.1.177",56243,10,617,98,0,0,2,185,8,432,68.952265,5225.110266,0,0
"192.168.1.177",50064,"188.166.241.168",80,10,1228,99,0,0,6,505,4,723,74.732385,0.8207270000000051,4922,7047
"52.108.8.254",443,"192.168.1.177",56221,1,54,100,0,0,1,54,0,0,89.806142,0,"",""
"52.97.200.146",443,"192.168.1.177",56216,1,54,101,0,0,1,54,0,0,90.192077,0,"",""
"192.168.1.62",50531,"192.168.1.177",7680,8,531,102,0,0,5,357,3,174,93.984142,0.006040999999996188,472769,230425
"104.123.68.49",443,"192.168.1.177",56217,10,571,103,0,0,2,139,8,432,95.404918,5198.657633,0,0
"20.189.173.9",443,"192.168.1.177",56219,1,54,104,0,0,1,54,0,0,99.292258,0,"",""
"192.168.1.177",56304,"149.154.167.99",443,326,1069336,105,0,0,105,13921,221,1055415,109.940978,50.04906,2225,168700
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56305,"2001:b28:f23f:9::852:438",443,5,430,106,0,0,5,430,0,0,112.296068,15.037453,228,0
"192.168.1.177",56307,"149.154.167.99",443,36,21389,107,0,0,17,3469,19,17920,112.51474,30.274636,916,4735
"192.168.1.177",56308,"149.154.170.200",443,52,38822,108,0,0,22,3432,30,35390,112.559489,54.292728999999994,505,5214
"62.165.159.17",443,"192.168.1.177",56241,10,571,109,0,0,2,139,8,432,113.41555,5180.646959000001,0,0
"204.79.197.222",443,"192.168.1.177",56179,1,54,110,0,0,1,54,0,0,114.204691,0,"",""
"104.123.68.50",443,"192.168.1.177",56187,10,571,111,0,0,2,139,8,432,116.008884,5178.05363,0,0
"13.107.18.254",443,"192.168.1.177",56224,1,54,112,0,0,1,54,0,0,120.280918,0,"",""
"192.168.1.177",56311,"149.154.170.200",443,22,8058,113,0,0,8,1463,14,6595,133.345604,1.1962289999999882,9784,44105
"192.168.1.62",50541,"192.168.1.177",7680,8,531,114,0,0,5,357,3,174,133.991461,0.011765000000025339,242753,118317
"152.199.19.161",443,"192.168.1.177",56223,11,689,115,0,0,3,257,8,432,148.468774,5145.593757,0,0
"192.168.1.62",50551,"192.168.1.177",7680,8,531,116,0,0,5,357,3,174,173.99612,0.006050000000016098,472066,230082
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56317,"2a05:d014:58f:6202::64",80,5,430,117,0,0,5,430,0,0,186.475111,15.022126000000014,228,0
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56320,"2a05:d014:58f:6201::64",80,5,430,118,0,0,5,430,0,0,207.498052,15.035287000000011,228,0
"192.168.1.62",50583,"192.168.1.177",7680,8,531,119,0,0,5,357,3,174,214.015098,0.012098000000008824,236072,115060
"192.168.1.177",56323,"40.114.177.156",443,10,5853,120,0,0,5,1563,5,4290,226.497879,0.09526599999998098,131253,360254
"192.168.1.177",56324,"40.114.177.156",443,10,5853,121,0,0,5,1563,5,4290,226.692297,0.08206500000000005,152367,418205
"192.168.1.177",56325,"3.70.101.28",80,15,1268,122,0,0,8,553,7,715,228.541577,67.91543700000003,65,84
"192.168.1.177",56326,"3.70.101.28",443,24,6428,123,0,0,13,1326,11,5102,228.598318,67.85869600000001,156,601
"192.168.1.177",56327,"34.117.237.239",443,32,4653,124,0,0,17,2758,15,1895,229.16748,171.027197,129,88
"34.117.65.55",443,"192.168.1.177",56149,43,2974,125,0,0,27,1748,16,1226,229.951072,3300.0520690000003,4,2
"192.168.1.177",56329,"62.165.155.56",443,34,10824,126,0,0,17,3332,17,7492,238.703316,30.311439999999976,879,1977
"192.168.1.177",56330,"62.165.155.56",443,32,10102,127,0,0,16,2951,16,7151,238.703832,30.249691000000013,780,1891
"192.168.1.177",56331,"62.165.155.56",443,32,10095,128,0,0,15,2890,17,7205,238.70427,30.249187000000006,764,1905
"192.168.1.177",56333,"34.120.52.64",443,2326,292168,129,0,0,897,129110,1429,163058,249.169732,5185.167055,199,251
"192.168.1.62",50588,"192.168.1.177",7680,8,531,130,0,0,5,357,3,174,254.016822,0.010874999999998636,262620,128000
"192.168.1.62",50598,"192.168.1.177",7680,8,531,131,0,0,5,357,3,174,294.034353,0.0297429999999963,96022,46800
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56338,"2600:1901:1:c36::",443,1,86,132,0,0,1,86,0,0,295.858097,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56339,"2600:1901:1:c36::",443,1,86,133,0,0,1,86,0,0,296.104943,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56340,"2600:1901:1:c36::",443,1,86,134,0,0,1,86,0,0,296.149835,0,"",""
"192.168.1.177",56341,"35.186.224.25",443,379,42750,135,0,0,175,17110,204,25640,296.164638,2926.400883,46,70
"192.168.1.177",56342,"35.186.224.25",443,22,2675,136,0,0,11,1255,11,1420,296.461958,219.579569,45,51
"192.168.1.177",56346,"149.154.167.99",443,40,10812,137,0,0,21,3137,19,7675,328.508341,170.85242900000003,146,359
"192.168.1.62",50611,"192.168.1.177",7680,8,531,138,0,0,5,357,3,174,334.048162,0.015010000000017953,190273,92738
"192.168.1.62",50627,"192.168.1.177",7680,8,531,139,0,0,5,357,3,174,374.064837,0.00590999999997166,483248,235532
"192.168.1.177",56353,"34.110.207.168",443,28,4005,140,0,0,15,2416,13,1589,395.942364,170.68594800000005,113,74
"192.168.1.62",50652,"192.168.1.177",7680,8,531,141,0,0,5,357,3,174,414.075753,0.005216999999959171,547441,266820
"192.168.1.62",50674,"192.168.1.177",7680,8,531,142,0,0,5,357,3,174,454.090231,0.009063999999966654,315092,153574
"192.168.1.62",50688,"192.168.1.177",7680,8,531,143,0,0,5,357,3,174,494.092593,0.005473999999992429,521739,254293
"192.168.1.177",56364,"95.216.67.183",443,14,6002,144,0,0,7,1063,7,4939,502.438225,0.12710900000001857,66903,310851
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56365,"2a01:4f8:271:134e::2",443,1,86,145,0,0,1,86,0,0,502.444339,0,"",""
"192.168.1.177",56366,"62.183.170.50",80,32,3218,146,0,0,17,1375,15,1843,502.49774,115.92443200000002,94,127
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56368,"2600:1901:1:c36::",443,1,86,147,0,0,1,86,0,0,516.042296,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56369,"2600:1901:1:c36::",443,1,86,148,0,0,1,86,0,0,516.288358,0,"",""
"192.168.1.177",56370,"35.186.224.25",443,1299,244145,149,0,0,560,71330,739,172815,516.351185,3658.861649,155,377
"192.168.1.177",56371,"35.186.224.25",443,42,4002,150,0,0,21,1805,21,2197,516.598586,660.027058,21,26
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56373,"2a03:2880:f213:c3:face:b00c:0:167",443,1,86,151,0,0,1,86,0,0,523.329452,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56374,"2a03:2880:f213:c3:face:b00c:0:167",443,1,86,152,0,0,1,86,0,0,523.329663,0,"",""
"192.168.1.177",56375,"157.240.205.60",443,41,10025,153,0,0,22,4669,19,5356,523.590624,170.15924799999993,219,251
"192.168.1.177",56376,"157.240.205.60",443,21,5567,154,0,0,10,1491,11,4076,523.590786,0.027679000000034648,430940,1178077
"192.168.1.177",56378,"20.42.65.89",443,36,12131,155,0,0,19,6045,17,6086,532.816965,1.2075069999999641,40049,40321
"192.168.1.62",50694,"192.168.1.177",7680,8,531,156,0,0,5,357,3,174,534.096377,0.008700000000089858,328275,159999
"192.168.1.177",56381,"34.120.208.123",443,37,6624,157,0,0,19,4038,18,2586,560.373291,170.65545699999996,189,121
"192.168.1.62",50724,"192.168.1.177",7680,8,531,158,0,0,5,357,3,174,574.111495,0.007875000000012733,362666,176761
"192.168.1.62",50755,"192.168.1.177",7680,8,531,159,0,0,5,357,3,174,614.125114,0.008984999999938736,317863,154924
"192.168.1.177",56388,"149.154.167.99",443,39,10780,160,0,0,20,3083,19,7697,629.640935,171.017878,144,360
"192.168.1.62",50770,"192.168.1.177",7680,8,531,161,0,0,5,357,3,174,654.128651,0.01985700000000179,143828,70101
"192.168.1.177",50152,"195.148.124.36",80,10,1226,162,0,0,6,504,4,722,668.812848,0.011804999999981192,341550,489284
"192.168.1.177",50076,"188.166.241.168",80,10,1228,163,0,0,6,505,4,723,675.673516,0.8465510000000904,4772,6832
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56396,"2600:1901:1:c36::",443,1,86,164,0,0,1,86,0,0,688.828146,0,"",""
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56397,"2600:1901:1:c36::",443,1,86,165,0,0,1,86,0,0,689.085526,0,"",""
"192.168.1.177",56398,"35.186.224.25",443,776,258297,166,0,0,388,220140,388,38157,689.131414,3689.8590580000005,477,82
"192.168.1.177",56399,"35.186.224.25",443,42,4002,167,0,0,21,1805,21,2197,689.395805,660.0607739999999,21,26
"192.168.1.62",50788,"192.168.1.177",7680,8,531,168,0,0,5,357,3,174,694.145026,0.00746399999991354,382636,186495
"192.168.1.177",56405,"35.186.227.140",443,979,274977,169,0,0,397,220719,582,54258,732.220946,1437.4357439999999,1228,301
"192.168.1.62",50799,"192.168.1.177",7680,8,531,170,0,0,5,357,3,174,734.157701,0.005172000000015942,552204,269141
"192.168.1.62",50809,"192.168.1.177",7680,8,531,171,0,0,5,357,3,174,774.161888,0.007522999999991953,379635,185032
"192.168.1.62",50825,"192.168.1.177",7680,8,531,172,0,0,5,357,3,174,814.164232,0.010921000000053027,261514,127460
"192.168.1.177",56416,"34.120.52.64",443,88,14353,173,0,0,39,6149,49,8204,841.813063,396.04013499999996,124,165
"192.168.1.62",50828,"192.168.1.177",7680,8,531,174,0,0,5,357,3,174,854.167269,0.005170000000020991,552417,269245
"192.168.1.177",56418,"95.216.67.183",443,34,8637,175,0,0,15,2288,19,6349,861.501471,45.93261199999995,398,1105
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56419,"2a01:4f8:271:134e::2",443,1,86,176,0,0,1,86,0,0,861.506805,0,"",""
"192.168.1.62",50843,"192.168.1.177",7680,8,531,177,0,0,5,357,3,174,894.178618,0.006424999999921965,444513,216653
"192.168.1.177",56425,"34.120.208.123",443,61,10904,178,0,0,29,6645,32,4259,912.845558,238.3639250000001,223,142
"192.168.1.177",56428,"149.154.167.99",443,37,10650,179,0,0,18,2975,19,7675,929.6107,170.715602,139,359
"192.168.1.62",50873,"192.168.1.177",7680,8,531,180,0,0,5,357,3,174,934.192461,0.00578100000006998,494032,240788
"192.168.1.62",50885,"192.168.1.177",7680,8,531,181,0,0,5,357,3,174,974.202622,0.013184000000023843,216626,105582
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56433,"2a05:d014:58f:6202::64",80,5,430,182,0,0,5,430,0,0,977.665368,15.04055900000003,228,0
"192.168.1.177",56434,"40.114.177.156",443,11,5288,183,0,0,5,944,6,4344,979.274675,0.07034599999997226,107355,494015
"192.168.1.177",56435,"40.114.177.156",443,5,330,184,0,0,1,66,4,264,979.477881,7.179894999999988,73,294
"192.168.1.177",56436,"40.114.177.156",443,32,7705,185,0,0,14,2005,18,5700,979.573043,20.235284999999976,792,2253
"192.168.1.177",56437,"140.177.50.10",443,127,176721,186,0,0,39,7171,88,169550,979.796523,4.561732000000006,12575,297343
"192.168.1.177",56438,"192.124.249.22",80,24,4441,187,0,0,12,1092,12,3349,980.117204,64.94732600000009,134,412
"192.168.1.177",56439,"140.177.50.10",443,68,215505,188,0,0,24,3273,44,212232,980.5236,3.6712630000000672,7132,462471
"192.168.1.177",56440,"140.177.50.10",443,64,119605,189,0,0,22,4227,42,115378,980.539623,3.7052999999999656,9126,249109
"192.168.1.177",56441,"140.177.50.10",443,57,121715,190,0,0,20,3408,37,118307,980.542335,3.549323000000072,7681,266658
"192.168.1.177",56442,"140.177.50.10",443,64,95745,191,0,0,24,4138,40,91607,980.551014,3.792771000000016,8728,193224
"192.168.1.177",56443,"140.177.50.10",443,86,123005,192,0,0,29,5111,57,117894,980.555597,3.8274289999999382,10682,246419
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56446,"2a05:d014:58f:6201::64",80,5,430,193,0,0,5,430,0,0,998.710652,15.03357200000005,228,0
"192.168.1.62",50898,"192.168.1.177",7680,8,531,194,0,0,5,357,3,174,1014.212948,0.0068280000000413565,418277,203866
"192.168.1.177",56449,"3.70.101.28",80,15,1268,195,0,0,8,553,7,715,1019.750366,67.94275599999992,65,84
"192.168.1.177",56450,"3.70.101.28",443,26,6536,196,0,0,14,1380,12,5156,1019.807686,67.88543599999991,162,607
"192.168.1.177",56452,"34.110.207.168",443,28,4005,197,0,0,15,2416,13,1589,1037.56073,170.7546890000001,113,74
"192.168.1.177",56455,"157.124.1.11",443,31,27944,198,0,0,16,6258,15,21686,1050.142138,0.8900230000001557,56250,194925
"2001:14ba:a051:8c00:61b5:31a4:d1f8:cc83",56456,"2a02:26f0:1200:5ac::1b01",80,5,430,199,0,0,5,430,0,0,1050.249695,15.040883000000122,228,0
"192.168.1.177",56457,"23.72.246.32",80,33,4342,200,0,0,17,1375,16,2967,1050.541055,115.72602200000006,95,205
"192.168.1.177",56458,"157.124.1.11",443,4,252,201,0,0,1,66,3,186,1051.00686,9.026589999999942,58,164
"192.168.1.177",56459,"157.124.1.11",443,116,75291,202,0,0,55,32746,61,42545,1051.446793,123.84724899999992,2115,2748
"192.168.1.177",56460,"157.124.1.11",443,173,214609,203,0,0,66,35309,107,179300,1051.62454,124.66941199999997,2265,11505
"192.168.1.177",56461,"157.124.1.11",443,56,20090,204,0,0,27,9254,29,10836,1051.890465,116.39527300000009,636,744
"192.168.1.177",56462,"157.124.1.11",443,55,20080,205,0,0,28,9343,27,10737,1051.895145,123.39881800000012,605,696
"192.168.1.177",56463,"157.124.1.11",443,56,20023,206,0,0,28,9275,28,10748,1051.899838,116.38941699999987,637,738
"192.168.1.177",56464,"157.124.1.11",443,44,11679,207,0,0,22,4299,22,7380,1052.638369,115.65045000000009,297,510
"192.168.1.62",50930,"192.168.1.177",7680,8,531,208,0,0,5,357,3,174,1054.216114,0.03279899999984082,87075,42440
"192.168.1.177",56466,"23.72.246.32",80,6,348,209,0,0,4,228,2,120,1071.292698,5.2367249999999785,348,183
"192.168.1.177",56468,"162.55.83.113",443,91,21305,210,0,0,45,8076,46,13229,1072.079154,184.20605499999988,350,574
"192.168.1.62",50950,"192.168.1.177",7680,8,531,211,0,0,5,357,3,174,1094.225172,0.008663000000069587,329677,160683
"192.168.1.177",56471,"149.154.167.99",443,52,20265,212,0,0,29,3523,23,16742,1104.488392,413.85583799999995,68,323
"192.168.1.177",56473,"149.154.167.99",443,68,136041,213,0,0,30,4203,38,131838,1104.61324,30.44332300000019,1104,34644
